ds,sku_id,yhat,yhat_lower,yhat_upper
2023-01-01,SKU001,46.604918248988405,38.122773035219474,55.88595154264984
2023-01-02,SKU001,39.35914733305175,30.936306805271105,47.39496250141198
2023-01-03,SKU001,38.898231564408206,30.336626098689212,47.713731767219805
2023-01-04,SKU001,40.24687914073618,31.54199894072559,49.149289484214385
2023-01-05,SKU001,39.97565673083776,31.26688789659707,48.43551204912162
2023-01-06,SKU001,41.34721381686373,32.83999905431654,49.45483079237109
2023-01-07,SKU001,48.99304542099394,40.462990428456905,57.57553099557642
2023-01-08,SKU001,49.675463062206916,41.30199885828544,58.36683472049138
2023-01-09,SKU001,42.033344336714066,33.62738773776909,51.233281396216256
2023-01-10,SKU001,41.156682951597595,32.72557488480981,49.616010566500364
2023-01-11,SKU001,42.07845164051689,33.52150439056531,51.01155537240485
2023-01-12,SKU001,41.37760521975399,33.09012740983747,49.942456072210646
2023-01-13,SKU001,42.32511989876603,33.82562237488141,50.928624790637016
2023-01-14,SKU001,49.56057364634193,41.24690814346738,58.52610605624459
2023-01-15,SKU001,49.853941665542465,41.16200734540377,58.43688963405857
2023-01-16,SKU001,41.851181379240515,32.96004878407011,50.603122088556226
2023-01-17,SKU001,40.64863246943773,31.972697814221977,49.19041940077553
2023-01-18,SKU001,41.28474773277501,33.151247676423424,49.92266412271758
2023-01-19,SKU001,40.342984884867334,31.42362844051441,48.97597075647783
2023-01-20,SKU001,41.09775778219665,32.20468937160894,49.354244904132436
2023-01-21,SKU001,48.1909536436343,39.76923869581028,56.78287376583879
2023-01-22,SKU001,48.39369149850535,40.07571460960405,56.68131643335606
2023-01-23,SKU001,40.35189680796606,31.30622271220322,48.34038955327722
2023-01-24,SKU001,39.16071771513632,30.328638620345966,47.92578590553887
2023-01-25,SKU001,39.85629796947045,31.251297072734214,48.33615669677943
2023-01-26,SKU001,39.01873538648112,30.90582609372054,47.74395703968571
2023-01-27,SKU001,39.918122381292825,30.964035693572814,48.38264881289278
2023-01-28,SKU001,47.19117286263563,38.448866614704386,55.46103882362799
2023-01-29,SKU001,47.60310787768403,38.62283807928282,56.32708812714544
2023-01-30,SKU001,39.79337179622668,31.42049605850165,48.00706532907509
2023-01-31,SKU001,38.85020104208712,30.195680091632244,47.2103747155262
2023-02-01,SKU001,39.80255678220142,30.865293215601785,48.24131772300443
2023-02-02,SKU001,39.22324665435382,30.308742134512723,47.835423706423484
2023-02-03,SKU001,40.37512838102026,31.99090578083946,48.86651152173048
2023-02-04,SKU001,47.88789580475728,39.52334098655357,56.51753637261937
2023-02-05,SKU001,48.52011624942632,39.369151803460134,56.8304841522991
2023-02-06,SKU001,40.90508771052919,32.342179191530306,48.95737825617977
2023-02-07,SKU001,40.125534919659906,31.465773540007035,48.84204746831625
2023-02-08,SKU001,41.20565310834013,33.22155973346233,49.90670914009358
2023-02-09,SKU001,40.714322397597556,32.12514620594848,49.21209209550724
2023-02-10,SKU001,41.91138397779024,33.110088720551765,50.19268311393863
2023-02-11,SKU001,49.42447743056492,40.93019526827829,57.93804633529594
2023-02-12,SKU001,50.011107429330025,41.80188494373444,58.9464086218612
2023-02-13,SKU001,42.30450817125802,33.86386725023595,50.832929063657545
2023-02-14,SKU001,41.38832494393072,32.96924711411922,50.502092865825375
2023-02-15,SKU001,42.28862249505016,33.712538932152036,51.173319425692604
2023-02-16,SKU001,41.57704442886049,32.25272145633438,49.83743952419576
2023-02-17,SKU001,42.517016499260365,34.7083434545903,51.38373073238914
2023-02-18,SKU001,49.7404952165905,40.72250383985649,58.73275528095766
2023-02-19,SKU001,50.00993236232442,40.88354906307624,58.46572912260455
2023-02-20,SKU001,41.96402637167527,33.62363553699003,50.24934162951374
2023-02-21,SKU001,40.69228274127783,32.283516325649906,48.436031259383626
2023-02-22,SKU001,41.226895996323854,32.634972517574354,50.13533441254678
2023-02-23,SKU001,40.1457803276569,31.86663790746135,48.66519942667993
2023-02-24,SKU001,40.71864461585346,32.40206563566059,49.19920319331556
2023-02-25,SKU001,47.58361600029863,38.14354876803072,55.923247667000176
2023-02-26,SKU001,47.50908516808094,38.979200116529434,55.58331343521218
2023-02-27,SKU001,39.139346671403786,30.184414101205057,48.09738523057335
2023-02-28,SKU001,37.56905853208134,28.24307633724854,46.300812525065496
2023-03-01,SKU001,37.83503545219243,29.09911040855873,46.45539349008996
2023-03-02,SKU001,36.51920419889713,27.650217729917934,44.98382091456359
2023-03-03,SKU001,36.894617984518526,28.357416544801048,45.80477890265515
2023-03-04,SKU001,43.60203474027005,34.96387869086842,51.68058276194025
2023-03-05,SKU001,43.4117328340016,35.171515586631806,52.053223244827535
2023-03-06,SKU001,34.969137558198064,25.759087937272092,43.81672910826698
2023-03-07,SKU001,33.369282321532225,25.042256445517204,42.00310604616242
2023-03-08,SKU001,33.648618219400205,25.535776911228695,42.98532141757376
2023-03-09,SKU001,32.38799961590792,23.9661153573711,40.51422961446685
2023-03-10,SKU001,32.85874136977816,24.255072642849466,41.103945776393715
2023-03-11,SKU001,39.69925119655955,31.18898699146434,48.92121355674464
2023-03-12,SKU001,39.676909139343806,31.274942387794912,48.17891429250513
2023-03-13,SKU001,31.433765763253106,22.785121577826324,40.51606029401467
2023-03-14,SKU001,30.061081228000404,21.202578377302483,39.1547481201836
2023-03-15,SKU001,30.591217057298895,21.950558946465243,38.875514828327844
2023-03-16,SKU001,29.60070643363674,21.033566461988887,38.53931224493163
2023-03-17,SKU001,30.356396853150223,21.025236162560045,39.14385609779065
2023-03-18,SKU001,37.492166930104695,28.679626645659365,46.03330464024848
2023-03-19,SKU001,37.77088773017217,28.757959813916,46.324850228085914
2023-03-20,SKU001,29.830198797441852,20.784889852980367,38.094695508781705
2023-03-21,SKU001,28.757119727339315,20.00252485019542,36.83152520266245
2023-03-22,SKU001,29.58000801849881,20.53490039292569,38.35883259981704
2023-03-23,SKU001,28.87168808988602,20.04007141658332,37.288399414222305
2023-03-24,SKU001,29.895644589845894,21.935300307040993,38.15498458183308
2023-03-25,SKU001,37.28278126411017,28.341921730118507,46.0498749782816
2023-03-26,SKU001,37.79341543779839,29.74670559969775,46.36822622246829
2023-03-27,SKU001,30.06307814115135,21.157537963621635,38.587720578169446
